Pavarde        Vardas         ND1   ND2   ND3   ND4   ND5   Egzaminas 
Pavarde97      Vardas97       7     10    9     6     2     2         
Pavarde98      Vardas98       7     8     2     8     5     4         
Pavarde99      Vardas99       9     10    4     1     10    1         
Pavarde100     Vardas100      8     7     4     2     8     6         
Pavarde101     Vardas101      6     8     8     1     4     6         
Pavarde102     Vardas102      3     1     3     2     2     10        
Pavarde103     Vardas103      7     1     1     10    10    9         
Pavarde104     Vardas104      1     3     2     1     2     4         
Pavarde105     Vardas105      2     5     6     4     2     7         
Pavarde106     Vardas106      7     3     9     7     5     3         
Pavarde107     Vardas107      2     7     1     3     3     2         
Pavarde108     Vardas108      10    2     1     5     2     9         
Pavarde109     Vardas109      6     3     9     3     1     2         
Pavarde110     Vardas110      1     7     1     6     6     5         
Pavarde111     Vardas111      8     3     9     7     10    3         
Pavarde112     Vardas112      3     9     6     5     4     2         
Pavarde113     Vardas113      4     1     3     1     3     10        
Pavarde114     Vardas114      10    7     2     2     3     10        
Pavarde115     Vardas115      1     8     1     4     1     1         
Pavarde116     Vardas116      1     4     9     3     2     6         
Pavarde117     Vardas117      10    5     2     6     2     4         
Pavarde118     Vardas118      5     6     1     5     4     4         
Pavarde119     Vardas119      8     1     3     8     6     9         
Pavarde120     Vardas120      10    3     7     10    3     2         
Pavarde121     Vardas121      1     10    2     2     3     8         
Pavarde122     Vardas122      10    9     10    2     9     2         
Pavarde123     Vardas123      10    6     2     7     5     7         
Pavarde124     Vardas124      5     9     7     7     1     5         
Pavarde125     Vardas125      8     4     2     1     7     10        
Pavarde126     Vardas126      5     9     1     2     9     5         
Pavarde127     Vardas127      10    2     10    7     3     8         
Pavarde128     Vardas128      7     9     7     4     9     2         
Pavarde129     Vardas129      3     6     1     5     2     1         
Pavarde130     Vardas130      9     9     6     4     3     5         
Pavarde131     Vardas131      7     8     9     3     4     9         
Pavarde132     Vardas132      1     1     4     10    1     10        
Pavarde133     Vardas133      4     5     2     9     6     6         
Pavarde134     Vardas134      7     5     5     9     6     3         
Pavarde135     Vardas135      3     6     3     7     1     10        
Pavarde136     Vardas136      10    2     8     4     7     9         
Pavarde137     Vardas137      3     6     9     10    7     8         
Pavarde138     Vardas138      6     8     1     8     5     6         
Pavarde139     Vardas139      10    4     3     7     4     3         
Pavarde140     Vardas140      4     6     1     6     2     4         
Pavarde141     Vardas141      2     5     5     10    9     4         
Pavarde142     Vardas142      3     9     8     8     9     5         
Pavarde143     Vardas143      6     4     6     8     10    9         
Pavarde144     Vardas144      4     7     2     8     7     3         
Pavarde145     Vardas145      9     2     6     7     5     3         
Pavarde146     Vardas146      6     3     7     8     6     2         
Pavarde147     Vardas147      2     9     1     5     3     2         
Pavarde148     Vardas148      5     9     7     8     7     3         
Pavarde149     Vardas149      3     2     7     3     1     8         
Pavarde150     Vardas150      1     3     5     4     8     3         
Pavarde151     Vardas151      8     3     2     6     4     6         
Pavarde152     Vardas152      1     2     5     3     8     10        
Pavarde153     Vardas153      4     1     1     3     6     10        
Pavarde154     Vardas154      10    9     9     10    9     8         
Pavarde155     Vardas155      1     2     10    10    10    6         
Pavarde156     Vardas156      4     5     10    5     1     2         
Pavarde157     Vardas157      5     10    6     3     7     7         
Pavarde158     Vardas158      2     1     5     3     7     4         
Pavarde159     Vardas159      4     5     5     8     3     7         
Pavarde160     Vardas160      10    7     3     1     10    8         
Pavarde161     Vardas161      7     9     8     1     1     6         
Pavarde162     Vardas162      9     5     7     7     9     2         
Pavarde163     Vardas163      3     7     7     10    6     1         
Pavarde164     Vardas164      6     8     8     4     4     4         
Pavarde165     Vardas165      9     7     8     2     5     5         
Pavarde166     Vardas166      9     7     8     8     3     7         
Pavarde167     Vardas167      4     8     3     4     4     2         
Pavarde168     Vardas168      3     9     7     3     5     7         
Pavarde169     Vardas169      9     4     3     1     2     2         
Pavarde170     Vardas170      7     7     7     4     9     9         
Pavarde171     Vardas171      4     10    10    5     2     3         
Pavarde172     Vardas172      9     9     9     4     3     8         
Pavarde173     Vardas173      5     9     10    3     1     1         
Pavarde174     Vardas174      9     6     7     3     6     2         
Pavarde175     Vardas175      4     7     2     9     8     8         
Pavarde176     Vardas176      6     9     9     8     9     9         
Pavarde177     Vardas177      3     10    6     2     3     2         
Pavarde178     Vardas178      5     4     2     6     1     7         
Pavarde179     Vardas179      6     1     3     9     8     2         
Pavarde180     Vardas180      1     4     6     10    6     2         
Pavarde181     Vardas181      3     6     2     6     4     1         
Pavarde182     Vardas182      10    8     5     3     5     3         
Pavarde183     Vardas183      1     5     6     5     9     1         
Pavarde184     Vardas184      8     5     5     3     4     4         
Pavarde185     Vardas185      6     9     4     10    1     2         
Pavarde186     Vardas186      8     7     9     8     5     9         
Pavarde187     Vardas187      4     8     7     2     7     1         
Pavarde188     Vardas188      5     3     5     4     5     10        
Pavarde189     Vardas189      2     9     5     8     4     10        
Pavarde190     Vardas190      5     8     6     6     2     10        
Pavarde191     Vardas191      7     8     3     4     4     7         
Pavarde192     Vardas192      10    7     6     10    7     1         
Pavarde193     Vardas193      5     9     8     6     5     2         
Pavarde194     Vardas194      7     2     1     5     9     9         
Pavarde195     Vardas195      6     10    10    5     4     6         
Pavarde196     Vardas196      9     5     6     10    6     10        
Pavarde197     Vardas197      8     6     8     7     8     7         
Pavarde198     Vardas198      6     4     9     10    9     4         
Pavarde199     Vardas199      7     2     6     2     9     10        
Pavarde200     Vardas200      7     1     10    2     7     2         
Pavarde201     Vardas201      10    5     7     10    3     7         
Pavarde202     Vardas202      7     4     9     2     4     1         
Pavarde203     Vardas203      2     7     9     3     1     3         
Pavarde204     Vardas204      10    2     6     10    7     1         
Pavarde205     Vardas205      6     7     2     2     7     6         
Pavarde206     Vardas206      5     10    9     2     1     9         
Pavarde207     Vardas207      8     4     8     2     4     9         
Pavarde208     Vardas208      10    8     10    3     8     5         
Pavarde209     Vardas209      9     3     10    4     3     7         
Pavarde210     Vardas210      2     2     4     3     3     4         
Pavarde211     Vardas211      10    2     7     10    6     5         
Pavarde212     Vardas212      6     4     4     1     5     4         
Pavarde213     Vardas213      8     6     3     2     7     10        
Pavarde214     Vardas214      6     9     4     2     3     9         
Pavarde215     Vardas215      7     1     1     1     3     7         
Pavarde216     Vardas216      2     1     6     3     5     1         
Pavarde217     Vardas217      7     1     7     6     7     5         
Pavarde218     Vardas218      10    9     6     3     5     7         
Pavarde219     Vardas219      3     4     2     10    3     1         
Pavarde220     Vardas220      3     7     5     5     8     9         
Pavarde221     Vardas221      9     7     7     9     4     9         
Pavarde222     Vardas222      1     2     2     7     5     9         
Pavarde223     Vardas223      1     7     5     5     4     6         
Pavarde224     Vardas224      4     7     6     10    3     6         
Pavarde225     Vardas225      2     5     4     4     8     6         
Pavarde226     Vardas226      4     6     8     9     2     6         
Pavarde227     Vardas227      2     6     8     9     1     7         
Pavarde228     Vardas228      7     4     1     4     8     5         
Pavarde229     Vardas229      6     4     4     1     6     7         
Pavarde230     Vardas230      10    9     10    4     5     6         
Pavarde231     Vardas231      7     8     2     5     2     10        
Pavarde232     Vardas232      7     2     6     5     10    2         
Pavarde233     Vardas233      9     3     10    1     1     5         
Pavarde234     Vardas234      9     1     4     2     7     4         
Pavarde235     Vardas235      3     8     6     3     3     10        
Pavarde236     Vardas236      7     9     8     5     4     1         
Pavarde237     Vardas237      9     9     8     3     1     4         
Pavarde238     Vardas238      6     5     9     7     10    4         
Pavarde239     Vardas239      5     10    4     1     3     3         
Pavarde240     Vardas240      1     1     6     5     3     2         
Pavarde241     Vardas241      10    1     5     9     9     3         
Pavarde242     Vardas242      2     5     1     8     9     1         
Pavarde243     Vardas243      4     3     5     2     1     9         
Pavarde244     Vardas244      1     10    3     1     10    4         
Pavarde245     Vardas245      8     7     6     8     9     2         
Pavarde246     Vardas246      2     5     3     9     3     1         
Pavarde247     Vardas247      2     8     10    3     3     5         
Pavarde248     Vardas248      8     5     5     3     2     3         
Pavarde249     Vardas249      5     7     4     8     5     2         
Pavarde250     Vardas250      9     1     7     8     7     5         
Pavarde251     Vardas251      7     3     8     2     6     10        
Pavarde252     Vardas252      5     3     2     5     6     7         
Pavarde253     Vardas253      8     6     7     3     7     10        
Pavarde254     Vardas254      5     4     3     3     10    2         
Pavarde255     Vardas255      7     10    8     1     5     10        
Pavarde256     Vardas256      2     6     2     9     7     6         
Pavarde257     Vardas257      10    7     10    7     1     1         
Pavarde258     Vardas258      7     5     1     3     3     7         
Pavarde259     Vardas259      6     7     3     3     3     1         
Pavarde260     Vardas260      6     1     4     6     4     9         
Pavarde261     Vardas261      9     4     2     4     6     7         
Pavarde262     Vardas262      9     9     2     10    8     1         
Pavarde263     Vardas263      6     7     2     10    9     8         
Pavarde264     Vardas264      4     10    7     5     10    9         
Pavarde265     Vardas265      3     7     9     10    9     9         
Pavarde266     Vardas266      1     8     10    9     1     1         
Pavarde267     Vardas267      6     7     10    3     6     3         
Pavarde268     Vardas268      5     7     3     2     5     7         
Pavarde269     Vardas269      9     3     2     8     6     8         
Pavarde270     Vardas270      2     9     8     8     3     7         
Pavarde271     Vardas271      3     4     6     2     2     2         
Pavarde272     Vardas272      4     1     7     6     10    4         
Pavarde273     Vardas273      4     5     8     6     7     4         
Pavarde274     Vardas274      6     1     4     4     10    10        
Pavarde275     Vardas275      7     10    5     5     6     4         
Pavarde276     Vardas276      4     4     2     9     3     8         
Pavarde277     Vardas277      9     1     1     9     7     7         
Pavarde278     Vardas278      1     3     1     3     6     8         
Pavarde279     Vardas279      6     8     9     10    6     4         
Pavarde280     Vardas280      10    8     1     1     4     7         
Pavarde281     Vardas281      6     9     10    5     8     5         
Pavarde282     Vardas282      6     2     8     1     8     5         
Pavarde283     Vardas283      6     10    9     10    3     1         
Pavarde284     Vardas284      9     1     2     9     3     5         
Pavarde285     Vardas285      8     2     4     5     6     9         
Pavarde286     Vardas286      8     8     1     4     9     6         
Pavarde287     Vardas287      9     6     5     3     9     4         
Pavarde288     Vardas288      8     5     2     8     3     10        
Pavarde289     Vardas289      5     7     6     2     6     9         
Pavarde290     Vardas290      3     6     7     3     1     3         
Pavarde291     Vardas291      3     5     9     6     9     1         
Pavarde292     Vardas292      6     4     3     4     10    4         
Pavarde293     Vardas293      7     3     1     2     8     2         
Pavarde294     Vardas294      1     9     10    1     6     4         
Pavarde295     Vardas295      2     5     10    4     6     2         
Pavarde296     Vardas296      10    6     8     9     9     4         
Pavarde297     Vardas297      2     4     10    4     2     5         
Pavarde298     Vardas298      6     6     6     2     3     4         
Pavarde299     Vardas299      6     3     4     8     10    6         
Pavarde300     Vardas300      5     4     4     10    3     7         
Pavarde301     Vardas301      3     4     2     6     6     3         
Pavarde302     Vardas302      9     2     5     3     8     1         
Pavarde303     Vardas303      1     5     10    9     2     4         
Pavarde304     Vardas304      7     1     1     3     1     6         
Pavarde305     Vardas305      10    10    3     3     10    10        
Pavarde306     Vardas306      9     1     2     1     8     4         
Pavarde307     Vardas307      2     10    6     6     2     8         
Pavarde308     Vardas308      6     2     3     7     8     1         
Pavarde309     Vardas309      4     10    6     5     1     3         
Pavarde310     Vardas310      4     10    1     10    9     2         
Pavarde311     Vardas311      5     2     4     4     6     8         
Pavarde312     Vardas312      10    1     2     6     2     6         
Pavarde313     Vardas313      5     2     3     10    7     4         
Pavarde314     Vardas314      4     5     1     3     10    10        
Pavarde315     Vardas315      9     7     7     8     6     8         
Pavarde316     Vardas316      1     7     1     2     6     9         
Pavarde317     Vardas317      1     4     7     10    4     6         
Pavarde318     Vardas318      3     2     4     8     3     4         
Pavarde319     Vardas319      8     7     5     6     3     4         
Pavarde320     Vardas320      2     4     3     8     6     6         
Pavarde321     Vardas321      9     6     7     3     8     2         
Pavarde322     Vardas322      9     6     8     6     3     7         
Pavarde323     Vardas323      1     3     7     8     2     10        
Pavarde324     Vardas324      10    6     7     7     10    2         
Pavarde325     Vardas325      8     5     6     7     8     8         
Pavarde326     Vardas326      1     2     5     4     2     10        
Pavarde327     Vardas327      4     9     3     8     5     9         
Pavarde328     Vardas328      9     4     4     9     4     6         
Pavarde329     Vardas329      1     10    7     8     3     4         
Pavarde330     Vardas330      1     3     7     2     8     10        
Pavarde331     Vardas331      6     7     2     8     6     2         
Pavarde332     Vardas332      6     2     2     5     3     8         
Pavarde333     Vardas333      9     4     3     1     4     3         
Pavarde334     Vardas334      9     10    5     4     7     8         
Pavarde335     Vardas335      1     8     9     3     3     10        
Pavarde336     Vardas336      5     2     4     7     1     7         
Pavarde337     Vardas337      3     2     2     6     6     4         
Pavarde338     Vardas338      3     8     6     4     9     2         
Pavarde339     Vardas339      4     2     3     9     9     8         
Pavarde340     Vardas340      2     3     1     3     9     9         
Pavarde341     Vardas341      9     3     5     1     2     10        
Pavarde342     Vardas342      10    1     8     9     7     5         
Pavarde343     Vardas343      8     8     8     5     7     5         
Pavarde344     Vardas344      1     3     3     10    3     4         
Pavarde345     Vardas345      6     8     6     6     10    2         
Pavarde346     Vardas346      8     5     3     6     5     3         
Pavarde347     Vardas347      5     3     9     6     2     8         
Pavarde348     Vardas348      1     7     10    10    3     10        
Pavarde349     Vardas349      6     4     2     9     4     4         
Pavarde350     Vardas350      8     5     4     9     10    4         
Pavarde351     Vardas351      2     7     7     8     9     6         
Pavarde352     Vardas352      6     6     4     2     8     3         
Pavarde353     Vardas353      9     8     8     1     9     10        
Pavarde354     Vardas354      2     1     6     2     8     4         
Pavarde355     Vardas355      10    9     4     2     4     2         
Pavarde356     Vardas356      7     7     3     3     9     9         
Pavarde357     Vardas357      4     2     7     3     9     1         
Pavarde358     Vardas358      3     9     6     7     7     9         
Pavarde359     Vardas359      10    4     10    5     2     5         
Pavarde360     Vardas360      4     3     2     3     4     2         
Pavarde361     Vardas361      6     2     10    6     2     3         
Pavarde362     Vardas362      6     6     1     3     4     7         
Pavarde363     Vardas363      8     6     7     9     5     9         
Pavarde364     Vardas364      8     5     1     9     5     9         
Pavarde365     Vardas365      7     1     6     6     3     7         
Pavarde366     Vardas366      8     5     7     7     3     7         
Pavarde367     Vardas367      3     4     7     1     6     2         
Pavarde368     Vardas368      5     1     8     1     8     5         
Pavarde369     Vardas369      2     2     8     2     5     5         
Pavarde370     Vardas370      3     9     2     5     8     3         
Pavarde371     Vardas371      4     2     7     6     3     2         
Pavarde372     Vardas372      7     6     1     6     9     1         
Pavarde373     Vardas373      3     9     5     3     6     10        
Pavarde374     Vardas374      3     5     8     7     6     3         
Pavarde375     Vardas375      7     5     2     5     3     2         
Pavarde376     Vardas376      3     4     10    6     10    4         
Pavarde377     Vardas377      1     7     4     1     2     6         
Pavarde378     Vardas378      10    1     3     2     2     7         
Pavarde379     Vardas379      10    1     6     3     8     3         
Pavarde380     Vardas380      8     10    10    10    2     4         
Pavarde381     Vardas381      6     8     2     1     10    10        
Pavarde382     Vardas382      7     8     7     4     6     6         
Pavarde383     Vardas383      8     2     10    3     6     1         
Pavarde384     Vardas384      5     9     2     9     9     7         
Pavarde385     Vardas385      6     7     10    8     6     7         
Pavarde386     Vardas386      6     4     3     6     8     7         
Pavarde387     Vardas387      2     1     5     4     10    3         
Pavarde388     Vardas388      7     6     8     9     7     6         
Pavarde389     Vardas389      9     9     1     9     10    4         
Pavarde390     Vardas390      9     8     8     5     5     4         
Pavarde391     Vardas391      1     7     3     10    9     5         
Pavarde392     Vardas392      10    4     4     4     6     1         
Pavarde393     Vardas393      9     4     1     3     2     4         
Pavarde394     Vardas394      5     5     9     9     1     4         
Pavarde395     Vardas395      5     2     1     6     1     5         
Pavarde396     Vardas396      7     3     2     2     1     8         
Pavarde397     Vardas397      6     6     7     5     4     7         
Pavarde398     Vardas398      1     1     10    9     4     2         
Pavarde399     Vardas399      5     1     7     8     1     6         
Pavarde400     Vardas400      4     4     7     4     9     6         
Pavarde401     Vardas401      1     4     2     2     9     8         
Pavarde402     Vardas402      9     4     10    7     10    9         
Pavarde403     Vardas403      10    6     3     5     2     8         
Pavarde404     Vardas404      7     9     3     6     10    5         
Pavarde405     Vardas405      7     5     3     9     2     4         
Pavarde406     Vardas406      1     3     8     9     10    2         
Pavarde407     Vardas407      9     4     4     7     7     6         
Pavarde408     Vardas408      8     1     1     1     6     3         
Pavarde409     Vardas409      9     4     10    9     7     6         
Pavarde410     Vardas410      9     10    9     8     5     10        
Pavarde411     Vardas411      10    3     4     2     7     3         
Pavarde412     Vardas412      3     6     5     1     10    3         
Pavarde413     Vardas413      3     5     2     5     7     3         
Pavarde414     Vardas414      5     4     3     8     10    1         
Pavarde415     Vardas415      5     9     7     1     5     3         
Pavarde416     Vardas416      3     3     8     2     3     9         
Pavarde417     Vardas417      5     3     4     10    1     5         
Pavarde418     Vardas418      10    5     7     9     7     5         
Pavarde419     Vardas419      3     7     10    6     6     4         
Pavarde420     Vardas420      4     8     3     5     5     2         
Pavarde421     Vardas421      1     6     10    8     2     9         
Pavarde422     Vardas422      3     5     10    5     6     2         
Pavarde423     Vardas423      5     3     2     7     6     9         
Pavarde424     Vardas424      9     3     4     6     5     6         
Pavarde425     Vardas425      7     9     3     10    10    2         
Pavarde426     Vardas426      9     6     1     2     3     3         
Pavarde427     Vardas427      9     1     9     4     10    7         
Pavarde428     Vardas428      4     1     8     7     2     8         
Pavarde429     Vardas429      9     3     6     4     8     1         
Pavarde430     Vardas430      6     5     4     1     5     2         
Pavarde431     Vardas431      8     1     3     7     1     3         
Pavarde432     Vardas432      7     10    8     10    6     5         
Pavarde433     Vardas433      7     3     10    9     7     3         
Pavarde434     Vardas434      3     3     6     6     5     9         
Pavarde435     Vardas435      6     1     4     4     5     8         
Pavarde436     Vardas436      6     10    6     9     8     3         
Pavarde437     Vardas437      2     9     4     1     6     7         
Pavarde438     Vardas438      1     2     1     2     8     8         
Pavarde439     Vardas439      6     3     6     4     10    2         
Pavarde440     Vardas440      7     3     7     8     5     1         
Pavarde441     Vardas441      9     8     10    3     4     9         
Pavarde442     Vardas442      3     5     7     8     3     5         
Pavarde443     Vardas443      10    8     6     3     9     10        
Pavarde444     Vardas444      4     5     9     6     4     9         
Pavarde445     Vardas445      8     6     4     2     1     5         
Pavarde446     Vardas446      8     10    9     5     6     5         
Pavarde447     Vardas447      7     8     1     6     3     9         
Pavarde448     Vardas448      9     2     2     6     3     2         
Pavarde449     Vardas449      6     8     9     7     1     1         
Pavarde450     Vardas450      7     7     7     7     6     1         
Pavarde451     Vardas451      8     6     4     6     9     1         
Pavarde452     Vardas452      9     4     4     5     9     1         
Pavarde453     Vardas453      2     1     1     3     2     8         
Pavarde454     Vardas454      8     8     8     3     9     4         
Pavarde455     Vardas455      1     6     1     1     1     1         
Pavarde456     Vardas456      6     8     1     9     6     9         
Pavarde457     Vardas457      9     7     1     6     6     1         
Pavarde458     Vardas458      1     5     2     2     5     4         
Pavarde459     Vardas459      4     5     8     2     10    8         
Pavarde460     Vardas460      5     7     2     5     10    7         
Pavarde461     Vardas461      8     5     6     9     6     9         
Pavarde462     Vardas462      10    3     10    4     6     6         
Pavarde463     Vardas463      7     5     8     8     3     1         
Pavarde464     Vardas464      6     8     6     2     7     2         
Pavarde465     Vardas465      5     5     1     4     4     9         
Pavarde466     Vardas466      8     10    2     7     6     7         
Pavarde467     Vardas467      9     9     2     10    4     2         
Pavarde468     Vardas468      4     4     7     10    1     7         
Pavarde469     Vardas469      5     2     4     7     1     10        
Pavarde470     Vardas470      10    3     1     5     8     9         
Pavarde471     Vardas471      6     4     5     9     4     6         
Pavarde472     Vardas472      7     10    4     6     3     4         
Pavarde473     Vardas473      8     4     5     7     8     6         
Pavarde474     Vardas474      8     6     8     2     4     6         
Pavarde475     Vardas475      6     7     8     7     3     6         
Pavarde476     Vardas476      5     6     5     10    3     3         
Pavarde477     Vardas477      2     2     2     2     1     1         
Pavarde478     Vardas478      9     4     3     9     6     1         
Pavarde479     Vardas479      1     4     2     5     8     8         
Pavarde480     Vardas480      2     7     1     1     7     10        
Pavarde481     Vardas481      6     5     1     4     6     5         
Pavarde482     Vardas482      4     9     1     10    6     9         
Pavarde483     Vardas483      7     9     1     7     7     10        
Pavarde484     Vardas484      3     9     2     2     1     10        
Pavarde485     Vardas485      4     2     1     4     5     3         
Pavarde486     Vardas486      1     9     4     1     4     7         
Pavarde487     Vardas487      5     10    7     9     9     1         
Pavarde488     Vardas488      9     6     9     8     6     4         
Pavarde489     Vardas489      6     6     2     9     7     1         
Pavarde490     Vardas490      2     2     4     3     9     10        
Pavarde491     Vardas491      7     2     10    10    9     4         
Pavarde492     Vardas492      4     6     5     4     9     1         
Pavarde493     Vardas493      1     9     6     2     1     5         
Pavarde494     Vardas494      8     10    7     8     1     2         
Pavarde495     Vardas495      4     4     4     2     2     4         
Pavarde496     Vardas496      8     7     8     3     3     6         
Pavarde497     Vardas497      8     9     10    7     4     8         
Pavarde498     Vardas498      7     6     1     4     1     9         
Pavarde499     Vardas499      6     4     1     6     5     5         
Pavarde500     Vardas500      8     8     8     5     5     1         
Pavarde501     Vardas501      9     1     7     6     5     8         
Pavarde502     Vardas502      5     2     5     1     4     8         
Pavarde503     Vardas503      4     5     8     7     8     9         
Pavarde504     Vardas504      7     4     3     3     7     4         
Pavarde505     Vardas505      4     8     10    1     1     1         
Pavarde506     Vardas506      8     8     7     1     8     4         
Pavarde507     Vardas507      7     4     9     10    6     10        
Pavarde508     Vardas508      4     3     7     5     1     10        
Pavarde509     Vardas509      1     3     10    2     3     1         
Pavarde510     Vardas510      1     1     6     5     7     10        
Pavarde511     Vardas511      8     9     7     3     4     9         
Pavarde512     Vardas512      1     3     5     1     3     7         
Pavarde513     Vardas513      1     4     1     4     5     8         
Pavarde514     Vardas514      8     1     3     2     6     2         
Pavarde515     Vardas515      3     2     3     1     2     2         
Pavarde516     Vardas516      2     4     8     7     5     7         
Pavarde517     Vardas517      5     10    10    5     4     3         
Pavarde518     Vardas518      2     6     5     10    7     9         
Pavarde519     Vardas519      6     4     6     8     9     8         
Pavarde520     Vardas520      7     5     4     1     3     9         
Pavarde521     Vardas521      7     5     2     4     4     5         
Pavarde522     Vardas522      3     5     7     3     2     8         
Pavarde523     Vardas523      10    10    8     6     2     4         
Pavarde524     Vardas524      4     4     3     5     4     7         
Pavarde525     Vardas525      3     10    8     8     9     10        
Pavarde526     Vardas526      5     5     7     8     3     7         
Pavarde527     Vardas527      1     5     2     2     1     1         
Pavarde528     Vardas528      9     2     5     5     5     3         
Pavarde529     Vardas529      5     3     9     8     10    10        
Pavarde530     Vardas530      10    2     7     9     3     4         
Pavarde531     Vardas531      2     5     7     4     3     7         
Pavarde532     Vardas532      4     10    1     9     8     8         
Pavarde533     Vardas533      1     10    5     4     10    9         
Pavarde534     Vardas534      10    9     2     5     4     2         
Pavarde535     Vardas535      4     6     5     1     10    1         
